Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.595,-118.0,180.0,top
C1,103.045199,-80.039491,0.0,top
C10,191.225,-80.063324,0.0,top
C11,120.405,-94.3,180.0,top
C12,120.405,-91.0,180.0,top
C13,120.405,-92.65,180.0,top
C14,120.405,-95.95,180.0,top
C15,138.905,-91.5,0.0,top
C16,120.405,-97.5,180.0,top
C17,138.63,-98.5,0.0,top
C18,119.905,-99.5,180.0,top
C19,138.63,-100.0,0.0,top
C2,113.0,-80.039491,0.0,top
C20,120.405,-101.5,180.0,top
C21,138.63,-96.49,0.0,top
C22,145.6339,-93.0,180.0,top
C23,138.63,-95.0,0.0,top
C24,164.905,-104.0,180.0,top
C25,167.905,-104.0,0.0,top
C26,99.905,-88.818048,90.0,top
C27,97.905,-88.818048,90.0,top
C28,103.405,-106.49,180.0,top
C29,103.405,-104.99,0.0,top
C3,120.5,-80.039491,0.0,top
C30,93.675,-114.136,180.0,top
C31,102.905,-94.5,0.0,top
C32,102.905,-96.5,0.0,top
C33,176.5,-87.0,180.0,top
C34,176.5,-85.5,180.0,top
C4,131.5,-80.0,0.0,top
C5,139.5,-80.051656,0.0,top
C6,149.5,-80.051656,0.0,top
C7,156.746052,-80.051656,0.0,top
C8,167.725,-80.0,0.0,top
C9,180.0,-80.063324,0.0,top
D1,182.755,-106.0,0.0,top
D2,94.802991,-89.268048,90.0,top
D3,93.715,-109.392,0.0,top
D4,93.715,-107.744,0.0,top
D5,182.755,-102.25,0.0,top
FID1,122.405,-103.5,0.0,top
FID2,139.905,-89.5,0.0,top
FID3,163.0,-87.5,0.0,top
J1,101.478339,-72.1,180.0,top
J10,188.728339,-72.1625,180.0,top
J11,154.87,-101.04,90.0,top
J13,196.52,-111.04,0.0,top
J15,86.5,-115.0,270.0,top
J2,110.628339,-72.1,180.0,top
J3,119.778339,-72.1,180.0,top
J4,128.928339,-72.1,180.0,top
J5,138.078339,-72.1,180.0,top
J6,147.228339,-72.1,180.0,top
J7,156.378339,-72.1,180.0,top
J8,165.528339,-72.1,180.0,top
J9,179.578339,-72.1625,180.0,top
JP1,113.405,-85.0,90.0,top
JP2,124.738333,-85.0,90.0,top
JP3,136.071667,-85.0,90.0,top
JP4,147.405,-85.0,90.0,top
JP7,199.0,-80.27,0.0,top
JP8,203.0,-80.27,0.0,top
L1,89.647991,-85.268048,0.0,top
L2,99.5,-100.0,270.0,top
L3,102.405,-92.0,0.0,top
PS1,89.302991,-91.268048,180.0,top
Q1,103.405,-119.0,270.0,top
R1,99.545199,-80.039491,0.0,top
R10,187.725,-80.063324,0.0,top
R11,145.6339,-90.0,0.0,top
R12,145.6339,-91.5,180.0,top
R13,182.715,-104.0,0.0,top
R14,182.715,-100.5,180.0,top
R15,163.23,-90.5,0.0,top
R16,166.23,-90.5,0.0,top
R17,169.58,-90.5,0.0,top
R18,173.08,-90.5,0.0,top
R19,176.255,-90.5,0.0,top
R2,110.0,-80.0,0.0,top
R20,103.405,-103.5,0.0,top
R21,93.675,-112.568,180.0,top
R22,93.675,-111.0,180.0,top
R23,93.675,-106.136,0.0,top
R24,103.405,-101.99,0.0,top
R25,171.405,-105.5,180.0,top
R26,171.405,-104.0,0.0,top
R27,89.0,-106.0,0.0,top
R28,89.0,-107.5,0.0,top
R3,117.0,-80.039491,0.0,top
R4,128.5,-80.0,0.0,top
R5,136.0,-80.051656,0.0,top
R6,146.5,-80.051656,0.0,top
R7,153.203947,-80.051656,0.0,top
R8,164.5,-80.0,0.0,top
R9,176.730263,-80.063324,0.0,top
S1,176.405,-97.0,90.0,top
S2,154.905,-94.0,90.0,top
S3,159.405,-94.0,90.0,top
S4,169.0,-86.5,0.0,top
SW1,189.5,-103.0,0.0,top
SW2,86.0,-99.0,270.0,top
U1,129.405,-95.2785,270.0,top
U10,160.765,-80.0,0.0,top
U11,184.0,-80.0,0.0,top
U2,193.0,-91.5,270.0,top
U3,168.405,-97.25,270.0,top
U4,95.705,-121.3,0.0,top
U5,103.905,-109.5,270.0,top
U6,106.265,-80.0,0.0,top
U7,99.09,-95.45,270.0,top
U8,124.735,-80.0,0.0,top
U9,142.765,-80.0,0.0,top
